NAME;SKU;PRICE;CATEGORIES;STOCK
SABONETE PALMOLIVE JASMIM;2404787;5.49;144920;0.0
AMACIANTE MON BIJOU CUIDA;2404788;10.49;144845;0.0
BISC PANCO LEITE 400G;2404789;8.65;144684;0.0
AMACIANTE MON BIJOU MAGIA;2404790;10.49;144845;0.0
CAFE MELITTA TRADICIONAL;2404791;30.99;144728;0.0
DESINF PINHO BRIL LAVANDA;2404792;10.9;144834;0.0
CR DENTAL COLGATE MPA  90;2404793;5.49;144887;0.0
SABONETE PROTEX OMEGA 3 8;2404794;5.45;144920;0.0
BOLO PANCO ABACAXI 300G;2404795;12.99;144320;0.0
DESINF PINHO BRIL LAVANDA;2404796;6.49;144834;0.0
CREME CABELO ORIGEM CACHO;2404797;13.9;1;0.0
REFRIG SODA LIMONADA ANTA;2404798;8.99;144679;0.0
WAFER PANCO GOLDEN BLACK;2404799;4.99;144691;0.0
SAPOLIO RADIUM CR CLORO 2;2404800;11.99;144854;0.0
BISC PANCO MAISENA 200G;2404801;4.49;144684;0.0
BISC PANCO MAISENA CHOCOL;2404802;5.25;144684;0.0
DESINF PINHO BRIL BRISA M;2404804;6.49;144834;0.0
CR PENTEAR PALMOLIVE KIDS;2404805;10.9;144872;0.0
BISC PANCO MARIA 200G;2404806;4.75;144684;0.0
CR DENTAL COLGATE TOTAL 1;2404807;10.99;144887;0.0
SAB PALMOLIVE OLEO NUTRIT;2404808;1.59;144920;0.0
BISC PANCO CREAM CRACKER;2404809;8.79;144688;0.0
ESCOVA DENTAL COLGATE ESS;2404810;5.49;144889;0.0
SABONETE PALMOLIVE PETALA;2404811;5.49;144920;0.0
DESINF PINHO BRIL FLORES;2404812;6.49;144834;0.0
SHAMPOO PALMOLIVE NEUTRO;2404813;12.99;144870;0.0
BISC PANCO CREAM CRACKER;2404814;4.49;144688;0.0
CONDIC PALMOLIVE NAT KIDS;2404815;18.99;144869;0.0
SABONETE PROTEX ERVA DOCE;2404816;5.45;144920;0.0
CREME DENTAL COLGATE MPA;2404817;9.95;144887;0.0
AMACIANTE MON BIJOU AZUL;2404818;10.49;144845;0.0
CORANTE GUARANY LILAS 40G;2404819;3.99;144849;0.0
GARRAFAO TERMICO TERMOLAR;2404820;53.9;144190;0.0
SAPOLIO RADIUM CR CLASSIC;2404823;11.99;144854;0.0
REFRIG ANTARCTICA GUARANA;2404824;9.95;144679;0.0
SEQUILHINHO PANCO 200G;2404825;8.79;144684;0.0
ABS SEMPRE LIVRE ESPECIAL;2404826;6.49;144892;0.0
FAROFA TEMP TRIFAROFA PAN;2404827;10.9;144772;0.0
ROSQUINHAS PANCO COCO 500;2404828;9.95;144684;0.0
SABONETE PROTEX MEN SPORT;2404829;5.45;144920;0.0
KIT BACIA ORGANIZA JAGUAR;2404830;17.99;144341;0.0
BATERIA ALCALINA ELGIN 9V;2404831;16.9;144522;0.0
AGUA DE COCO CAMPO LARGO;2404832;5.99;144637;0.0
ARROZ SELETTO TIPO 1 5KG;2404833;23.9;144629;0.0
KIT BACIAS ORGANIZA JAGUA;2404834;16.99;144341;0.0
CREME SKALA OLEO ARGAN 1K;2404835;11.99;144871;0.0
CONJ OORGANIZADOR JAGUAR;2404836;17.99;1;0.0
PACOCA CASEIRA DOCE BOM 7;2404837;14.99;144715;0.0
POTE BANDEIRANTE DOG ROSA;2404838;13.99;1;0.0
SORVETE MERLI CHOCONINHO;2404839;29.9;144498;0.0
KIT BACIAS ORGANIZA JAGUA;2404840;17.99;144341;0.0
SORVETE MERLI FLOCOS 2L;2404843;29.9;144498;0.0
ORGANIZ AZULEJO BANDEIRAN;2404845;19.9;1;0.0
REPARADOR DE PONTAS SHOXX;2404846;8.99;144873;0.0
SORVETE MERLI NAPOLITANO;2404847;29.9;144498;0.0
CREME SKALA EXPERT POTAO;2404848;11.99;144871;0.0
PICOLE MERLI MARACUJA 60G;2404849;2.5;144498;0.0
SORVETE MERLI COPAO SUPER;2404850;4.5;144498;0.0
ORGANIZ BANDEIRANTE MOKAC;2404851;16.9;1;0.0
OLEO SOJA COCAMAR 900ML;2404852;9.79;144633;0.0
CREME SKALA OLEO COCO 1KG;2404853;11.99;144871;0.0
PILHA ALCALINA ELGIN AAA;2404854;6.99;144522;0.0
ORGANIZ AZULEJO HIDRAULIC;2404855;13.9;1;0.0
SORVETE PALITO MERLI UVA;2404856;2.5;144498;0.0
SORV MERLI TENTACAO 1,8L;2404857;29.9;144498;0.0
LAMPADA LED BULBO ELGIN 9;2404858;5.99;144520;0.0
PORTA ESCOVA DENTES JAGUA;2404859;8.99;1;0.0
PILHA ALCALINA ELGIN AA C;2404861;11.99;144522;0.0
CONJ MANTIMENTOS JAGUAR R;2404862;36.9;1;0.0
SORVETE MERLI PALITO SKIM;2404864;4.5;144498;0.0
SHAMPOO OX LISO DURADOURO;2404865;13.99;144870;0.0
CREME SKALA EXPERT MAIS C;2404866;10.7;144871;0.0
SORVETE MERLI CHOCOLATE C;2404867;29.9;144498;0.0
OLEO SUAVIT CANOLA 900ML;2404868;14.75;144633;0.0
SORVETE MERLI ITUZINHO DR;2404869;3.9;144498;0.0
SORVETE MERLI ACAI NATURA;2404870;24.9;149393;0.0
COPO DESC COPOMAIS 500ML;2404871;14.99;144510;0.0
BISCOITO FOLHADO LARA COC;2404872;6.49;144688;0.0
BISCOITO FOLHADO SETE CAP;2404873;6.49;144688;0.0
PANETONE CASA SUICA FRUTA;2404874;25.9;144858;0.0
SORVETE MERLI TORTA DE LI;2404875;29.9;144498;0.0
SORVETE MERLI COCO BRANCO;2404876;29.9;144498;0.0
CERVEJA VINHO WIENBIER RU;2404877;10.99;144649;0.0
SHOXX GEL BRILHO MOLHADO;2404878;8.99;145727;0.0
MARMITA OPERARIA FORT LAR;2404879;24.9;144190;0.0
VELA MULTI FESTA AZUL N 9;2404880;4.99;144508;0.0
CANECAO FORT LAR ALUMINIO;2404881;24.9;144166;0.0
VELA SUPER GLITTER DOURAD;2404882;8.99;144508;0.0
VELA SUPER GLITTER DOURAD;2404883;8.99;144508;0.0
VELA MULTI FESTA AZUL N 5;2404884;4.99;144508;0.0
FORMA BRIGADEIRO MULTI FE;2404885;5.45;144508;0.0
BOLINHO CASA SUICA DISNEY;2404886;3.5;144320;0.0
VELA ANIVERS MULTI FESTA;2404887;4.99;144508;0.0
REGISTRO P/GAS C/MANGUEIR;2404888;36.9;1;0.0
ALGODAO BOLA BR COTTON LI;2404889;4.99;144883;0.0
LEMON PEPPER MULTI GOSTO;2404891;7.95;144769;0.0
BALAO SUPER MULTI FESTA A;2404893;14.9;144694;0.0
SORVETE MERLI NINHO C/MOR;2404894;29.9;144498;0.0
SACO P/ PIPOCA OU HOT DOG;2404895;3.5;144508;0.0
BEB LACTEA ITALAC WHEY PR;2404897;7.5;149391;0.0
SABONETE SIENE ROSAS VERM;2404898;1.35;144920;0.0
COCKTAIL VINHO WIENBIER R;2404899;8.99;1;0.0
REPARADOR PONTAS SHOXX SI;2404900;8.99;144873;0.0
SORVETE MERLI ACAI MORANG;2404901;34.9;149393;0.0
CERVEJA/VINHO WIENBIER RU;2404902;5.89;144649;0.0
VELA SUPER GLITTER DOURAD;2404903;8.99;144508;0.0
SORVETE MERLI NAPOLITANO;2404904;18.5;144498;0.0
CERVEJA VINHO WIENBIER WH;2404905;10.99;144649;0.0
PAPRICA DOCE MULTI GOSTO;2404906;5.95;144769;0.0
REPARADOR DE PONTAS SHOXX;2404907;8.99;144873;0.0
LEITE CONDENSADO ITALAC T;2404908;6.99;144718;0.0
SORVETE MERLI ACAI COM BA;2404910;9.9;149393;0.0
VELA MULTI FESTA ROSA N 3;2404911;4.99;144508;0.0
CHIMICHURRI MULTI GOSTO 1;2404912;3.69;144769;0.0
CANECAO REFORCADA N 16;2404913;35.9;1;0.0
PRATO LAMINADO MULTI FEST;2404914;8.99;144508;0.0
DOCE LEITE PINGO DE OURO;2404915;1.5;1;0.0
BALAO SUPER MULTI FESTA R;2404916;14.9;144694;0.0
ASSADEIRA P/PIZZA FORT LA;2404917;39.9;144166;0.0
BALAO SUPER MULTI FESTA V;2404918;14.9;144694;0.0
VELA MULTI FESTA AZUL N 7;2404919;4.99;144508;0.0
SORVETE MERLI ACAI NATURA;2404920;37.9;149393;0.0
SHOXX GEL BRILHO MOLHADO;2404921;8.99;145727;0.0
REPARADOR PONTAS SHOXX PR;2404922;8.99;144873;0.0
BOLO CASA SUICA MESCLADO;2404923;12.99;144320;0.0
CANUDO PLASTICO VITAMINA;2404924;6.5;144508;0.0
TONICO FORTALECIMENTO GOT;2404925;14.99;144873;0.0
REGISTRO GAS VINIGAS;2404926;23.9;1;0.0
PALHA DE ACO RELUZ N 2 22;2404927;2.99;144819;0.0
VELA SUPER GLITTER DOURAD;2404928;8.99;144508;0.0
CURATIVO COTTON LINE C/35;2404929;8.99;1;0.0
FRIGIDEIRA FORT-FLON Nº18;2404930;44.99;1;0.0
CHIMICHURRI S/PIMENTA MUL;2404931;6.99;144769;0.0
VELA SUPER GLITTER DOURAD;2404932;8.99;144508;0.0
PRATO LAMINADO MULTI FEST;2404934;7.49;144508;0.0
COLHER REF MULTI FESTA C/;2404935;10.99;144508;0.0
FRIGIDEIRA FORT FLON N 20;2404937;51.9;1;0.0
SORVETE MERLI MALTINE TRU;2404938;29.9;144498;0.0
COLORIFICO MULTI GOSTO 40;2404939;2.65;144769;0.0
ALGODAO BOLA COTTON COLOR;2404940;4.99;144883;0.0
VELA MULTI FESTA ROSA N 5;2404942;4.99;144508;0.0
SORVETE MERLI ACAI COM MO;2404943;9.9;149393;0.0
COTONETE COTTON LINE C/28;2404944;9.9;144893;0.0
MINI BRINQ MULTI FESTA FO;2404945;3.5;144508;0.0
SORVETE MERLI NAPOLICOPA;2404946;17.5;144498;0.0
SORVETE MERLI ACAI MERLIN;2404947;34.9;149393;0.0
SORVETE MERLI NINHO TRUFA;2404948;18.5;144498;0.0
SORVETE MERLI MERLININHO;2404949;29.9;144498;0.0
ASSAD RET ALTA FORT LAR 3;2404950;38.9;144166;0.0
ESPETO DE BAMBU MULTI FES;2404951;6.5;144508;0.0
SORVETE MERLI ACAI BANANA;2404952;37.9;149393;0.0
CURATIVO COTTON LINE TRAN;2404953;9.99;1;0.0
HASTES FLEXIVEIS COTTON L;2404954;8.49;1;0.0
VELA MULTI FESTA AZUL N 1;2404955;4.99;144508;0.0
SORVETE MERLI AMEIXA 1,8L;2404957;29.9;144498;0.0
REPARADOR DE PONTAS SHOXX;2404958;8.99;144873;0.0
REFRIG GUARANA ANTARCTICA;2404959;9.95;144679;0.0
BEBEZINHO PANCO MORANGO 7;2404960;4.99;144320;0.0
ENXAG BUCAL COLGATE PLAX;2404961;11.9;144888;0.0
SABONETE PROTEX MACADAMIA;2404962;5.45;144920;0.0
LA DE ACO BOMBRIL 60G;2404963;3.79;144819;0.0
SABONETE PALMOLIVE NUTRE;2404965;5.49;144920;0.0
CONDIC PALMOLIVE DETOX EN;2404966;14.99;144869;0.0
SABONETE PALMOLIVE SENSAC;2404968;5.49;144920;0.0
ENXAG BUCAL COLGATE PLAX;2404969;14.99;144888;0.0
AMACIANTE MON BIJOU PROTE;2404970;10.49;144845;0.0
SH INF PALMILIVE KIDS 350;2404971;19.99;144906;0.0
SHAMPOO PALMOLIVE CACHOS;2404972;12.99;144870;0.0
CAIXA TERMICA TERMOLAR SU;2404973;165.0;144190;0.0
SABONETE PALMOLIVE HIDRAT;2404974;3.49;144920;0.0
DESINF PINHO BRIL PINHO S;2404975;6.49;144834;0.0
SABONETE PROTEX VITAMINA;2404977;5.45;144920;0.0
SABONETE PALMOLIVE HIDRAT;2404978;5.49;144920;0.0
ENXAG COLGATE PLAX ICE IN;2404979;11.9;144888;0.0
BISC PANCO CRACKER INTEGR;2404980;4.75;144686;0.0
GARRAFA TERMICA MESA MINI;2404981;44.9;144190;0.0
BISC TICA SORTIDOS 500G;2404982;8.75;144684;0.0
DETERGENTE LIMPOL NEUTRO;2404983;2.45;144818;0.0
BEBEZINHO PANCO LARANJA 7;2404985;4.99;144320;0.0
LAMEN PANCO CARNE 85G;2404986;1.75;144782;0.0
BISC PANCO CORN DROP 500G;2404987;12.45;144684;0.0
SHAMPOO PALMOLIVE KIDS CA;2404988;19.99;144906;0.0
BISC PANCO MAISENA 400G;2404989;8.65;144684;0.0
GARRAFA TERMICA MESA MAGI;2404990;78.9;144190;0.0
BOLO PANCO MILHO 300G;2404991;12.99;144320;0.0
CAFE MELITTA EXTRA FORTE;2404992;35.9;144728;0.0
DETERGENTE LIMPOL LAVANDA;2404993;2.45;144818;0.0
WAFER PANCO MORANGO 140G;2404994;4.99;144691;0.0
PALHA ACO BRILLO 25G N 0;2404995;2.99;144819;0.0
BISC PANCO AGUA E SAL 400;2404997;8.79;144688;0.0
SABONETE PROTEX PROPOLIS;2404998;5.45;144920;0.0
PAO SOVADO PANCO 500G;2404999;16.99;144320;0.0
LAVA ROUPAS OLA ORIGINAL;2405000;16.49;144852;0.0
SAPOLIO RADIUM CREMOSO LI;2405001;11.99;144854;0.0
SHAMPOO PALMOLIVE CERAMID;2405002;12.99;144870;0.0
SHAMPOO PALMOLIVE ANTICAS;2405003;18.9;144870;0.0
ACUCAR UNIAO DEMERARA 1KG;2405004;8.99;144628;0.0
LAVA ROUPAS TIXAN YPE ANT;2405005;10.99;144846;0.0
BISC PANCO COOKIES 365 50;2405006;14.99;144684;0.0
REMOVEDOR BUFALO PINHO 50;2405007;8.99;144841;0.0
CAFE PILAO SOLUVEL COADO;2405008;18.99;144728;0.0
SABONETE FLOR DE YPE GARD;2405009;2.45;144920;0.0
DETERGENTE YPE CAPIM LIMA;2405010;2.75;144818;0.0
DETERGENTE YPE COCO 500ML;2405011;2.75;144818;0.0
BISCOITO WIND PANCO 500G;2405012;10.25;144688;0.0
SABONETE FRANCIS LUXO DAL;2405014;3.49;144920;0.0
SEQUILHINHO PANCO 500G;2405015;17.69;144684;0.0
PALMITO PUPUNHA BELMONT P;2405016;14.99;144805;0.0
NEOSALDINA C/4;2405017;10.9;1;0.0
PAO DE MEL PANCO 500G;2405018;11.49;144684;0.0
AMACIANTE YPE DELICADO 2L;2405019;11.99;144845;0.0
SABONETE FLOR DE YPE FRES;2405020;2.25;144920;0.0
CAFE PILAO VACUO 250G;2405021;12.99;144728;0.0
SABONETE FLOR DE YPE FRAM;2405022;2.25;144920;0.0
SABONETE FRANCIS LUXO LAV;2405023;4.35;144920;0.0
